supplysector,subsector,technology,minicam_energy_input,efficiency_2005,efficiency_2021,efficiency_2035,default_2025_scurve,target_intensity_2025_over_2005,target_efficiency_2025,target_vs_default_efficiency_pct,implied_energy_saving_vs_2005_pct,rationale
comm appliances,electricity,electric appliances,elect_td_bld,1.0,1.108,1.129,1.110205,0.82,1.219512,9.85,18.0,Moderate improvement consistent with appliance labelling and standards.
comm cooling,electricity,air conditioning,elect_td_bld,2.4,2.782,2.888,2.79313,0.72,3.333333,19.34,28.0,Cooling is a major HK end use; reflects substantial but conservative improvement.
comm cooling,electricity,air conditioning hi-eff,elect_td_bld,4.0,4.0,4.0,4.0,0.8,5.0,25.0,20.0,High-efficiency cooling improves while retaining an efficiency advantage.
comm heating,biomass,wood furnace,delivered biomass,0.65,0.66,0.67,0.66105,0.88,0.738636,11.74,12.0,Conservative improvement; marginal relevance in HK buildings.
comm heating,coal,coal furnace,delivered coal,0.65,0.66,0.67,0.66105,0.88,0.738636,11.74,12.0,Conservative improvement; marginal relevance in HK buildings.
comm heating,electricity,electric furnace,elect_td_bld,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Resistance heating is already near its physical conversion limit.
comm heating,electricity,electric heat pump,elect_td_bld,1.5,1.5,1.5,1.5,0.75,2.0,33.33,25.0,Heat-pump performance improved materially; heating has limited HK system relevance.
comm heating,gas,gas furnace,delivered gas,0.7,0.775,0.787,0.77626,0.85,0.823529,6.09,15.0,Moderate combustion and control improvement.
comm heating,gas,gas furnace hi-eff,delivered gas,1.5,1.5,1.5,1.5,0.95,1.578947,5.26,5.0,Small uplift preserves a high-efficiency option above ordinary equipment.
comm heating,heat,district heat,district heat,0.9,0.9,0.9,0.9,1.0,0.9,0.0,0.0,No HK-specific evidence for a 2025 efficiency uplift.
comm heating,refined liquids,fuel furnace,refined liquids enduse,0.7,0.81,0.822,0.81126,0.85,0.823529,1.51,15.0,Moderate combustion and control improvement.
comm hot water_cooking,coal,coal water heater,delivered coal,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Technical placeholder with negligible HK relevance.
comm hot water_cooking,electricity,electric resistance water heater,elect_td_bld,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Resistance conversion efficiency is already at its practical limit.
comm hot water_cooking,gas,gas water heater,delivered gas,0.7,0.775,0.787,0.77626,0.82,0.853659,9.97,18.0,Improved gas-water-heater efficiency and controls; moderated because GCAM combines hot water and cooking.
comm hot water_cooking,gas,gas water heater hi-eff,delivered gas,1.5,1.5,1.5,1.5,0.95,1.578947,5.26,5.0,Small uplift to an already high GCAM service-efficiency coefficient.
comm hot water_cooking,refined liquids,fuel water heater,refined liquids enduse,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,No robust HK-specific basis for changing this low-use technology.
comm lighting,electricity,elec light,elect_td_bld,0.021,0.021,0.022,0.021105,0.65,0.032308,53.08,35.0,LED transition warrants improvement beyond the generic 75-88% range.
comm lighting,electricity,fluorescent,elect_td_bld,0.041,0.041,0.042,0.041105,0.75,0.054667,32.99,25.0,Efficient lamps and tighter lighting-power requirements.
resid_urban appliances modern,electricity,electric appliances,elect_td_bld,1.0,1.108,1.129,1.110205,0.82,1.219512,9.85,18.0,Moderate improvement consistent with appliance labelling and standards.
resid_urban cooling modern,electricity,air conditioning,elect_td_bld,2.637,2.738,2.842,2.74892,0.65,4.056923,47.58,35.0,Strong AC improvement supported by HK labelling evidence; conservative versus model-level test savings.
resid_urban cooling modern,electricity,air conditioning hi-eff,elect_td_bld,3.3,3.3,3.3,3.3,0.72,4.583333,38.89,28.0,High-efficiency AC improves while retaining an efficiency advantage.
resid_urban heating modern,biomass,wood furnace,delivered biomass,0.4,0.406,0.412,0.40663,0.88,0.454545,11.78,12.0,Conservative improvement; negligible HK residential relevance.
resid_urban heating modern,coal,coal furnace,delivered coal,0.4,0.406,0.412,0.40663,0.88,0.454545,11.78,12.0,Conservative improvement; negligible HK residential relevance.
resid_urban heating modern,electricity,electric furnace,elect_td_bld,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Resistance heating is already near its physical conversion limit.
resid_urban heating modern,gas,gas furnace,delivered gas,0.78,0.78,0.792,0.78126,0.92,0.847826,8.52,8.0,Limited space-heating relevance in HK; modest improvement only.
resid_urban heating modern,gas,gas furnace hi-eff,delivered gas,0.84,0.84,0.84,0.84,0.9,0.933333,11.11,10.0,Moderate uplift while preserving advantage over ordinary furnace.
resid_urban heating modern,heat,district heat,district heat,0.9,0.9,0.9,0.9,1.0,0.9,0.0,0.0,No HK-specific evidence for a 2025 efficiency uplift.
resid_urban heating modern,refined liquids,fuel furnace,refined liquids enduse,0.78,0.78,0.792,0.78126,0.92,0.847826,8.52,8.0,Limited space-heating relevance in HK; modest improvement only.
resid_urban heating modern,refined liquids,fuel furnace hi-eff,refined liquids enduse,0.84,0.84,0.84,0.84,0.9,0.933333,11.11,10.0,Moderate uplift while preserving advantage over ordinary furnace.
resid_urban hot water_cooking modern,coal,coal water heater,delivered coal,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Technical placeholder with negligible HK relevance.
resid_urban hot water_cooking modern,electricity,electric resistance water heater,elect_td_bld,0.8,0.9,0.9,0.9,0.88,0.909091,1.01,12.0,Reflects improvement from the 2005 value but respects the conversion ceiling.
resid_urban hot water_cooking modern,electricity,electric resistance water heater hi-eff,elect_td_bld,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Already at the practical conversion ceiling.
resid_urban hot water_cooking modern,gas,gas water heater,delivered gas,0.52,0.52,0.52,0.52,0.85,0.611765,17.65,15.0,Moderate improvement; GCAM combines hot water and cooking.
resid_urban hot water_cooking modern,gas,gas water heater hi-eff,delivered gas,0.82,0.82,0.82,0.82,0.9,0.911111,11.11,10.0,Improvement for efficient gas systems while retaining ranking.
resid_urban hot water_cooking modern,refined liquids,fuel water heater,refined liquids enduse,0.52,0.52,0.52,0.52,0.85,0.611765,17.65,15.0,Moderate improvement; low HK relevance.
resid_urban hot water_cooking modern,refined liquids,fuel water heater hi-eff,refined liquids enduse,0.82,0.82,0.82,0.82,0.9,0.911111,11.11,10.0,Improvement while retaining ranking; low HK relevance.
resid_urban lighting modern,electricity,elec light,elect_td_bld,0.3,0.3,0.3,0.3,0.6,0.5,66.67,40.0,LED transition warrants improvement beyond the generic 75-88% range.
