scenario,region,supplysector,subsector,technology,year,original_coefficient,reduction_pct,multiplier,new_coefficient
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2025,0.1992856,4,0.96,0.191314176
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2030,0.1992856,8,0.92,0.183342752
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2035,0.1992856,12,0.88,0.175371328
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2040,0.1992856,15,0.85,0.16939276
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2045,0.1992856,18,0.82,0.163414192
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2050,0.1992856,20,0.8,0.15942848
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2055,0.1992856,20,0.8,0.15942848
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2060,0.1992856,20,0.8,0.15942848
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2065,0.1992856,20,0.8,0.15942848
conservative,AH,iron and steel,BLASTFUR,Biomass-based,2070,0.1992856,20,0.8,0.15942848
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2025,0.1992856,6,0.94,0.187328464
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2030,0.1992856,10,0.9,0.17935704
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2035,0.1992856,15,0.85,0.16939276
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2040,0.1992856,18,0.82,0.163414192
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2045,0.1992856,20,0.8,0.15942848
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2050,0.1992856,22,0.78,0.155442768
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2055,0.1992856,25,0.75,0.1494642
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2060,0.1992856,25,0.75,0.1494642
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2065,0.1992856,25,0.75,0.1494642
recommended,AH,iron and steel,BLASTFUR,Biomass-based,2070,0.1992856,25,0.75,0.1494642
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2025,0.1992856,8,0.92,0.183342752
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2030,0.1992856,15,0.85,0.16939276
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2035,0.1992856,20,0.8,0.15942848
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2040,0.1992856,25,0.75,0.1494642
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2045,0.1992856,28,0.72,0.143485632
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2050,0.1992856,30,0.7,0.13949992
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2055,0.1992856,32,0.68,0.135514208
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2060,0.1992856,35,0.65,0.12953564
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2065,0.1992856,35,0.65,0.12953564
aggressive,AH,iron and steel,BLASTFUR,Biomass-based,2070,0.1992856,35,0.65,0.12953564
